Name,Description
GORILLA TACTICS,BOOSTS THE POKÉMON'S ATTACK STAT BUT ONLY ALLOWS THE USE OF THE FIRST SELECTED MOVE.
GRASS PELT,BOOSTS THE DEFENSE STAT IN GRASSY TERRAIN.
GRASSY SURGE,THE POKÉMON CREATES A GRASSY TERRAIN WHEN IT ENTERS A BATTLE.
GULP MISSILE,RETURNS WITH A CATCH IN ITS MOUTH AFTER USING SURF OR DIVE.
GUTS,BOOSTS ATTACK IF THERE IS A STATUS PROBLEM.
HARVEST,MAY CREATE ANOTHER BERRY AFTER ONE IS USED.
HEALER,MAY HEAL AN ALLY'S STATUS CONDITIONS.
HEATPROOF,WEAKENS THE POWER OF FIRE-TYPE MOVES.
HEAVY METAL,DOUBLES THE POKÉMON'S WEIGHT.
HONEY GATHER,THE POKÉMON MAY GATHER HONEY FROM SOMEWHERE.
HUGE POWER,RAISES THE POKÉMON'S ATTACK STAT.
HUNGER SWITCH,CHANGES FORMS EACH TURN.
HUSTLE,"BOOSTS THE ATTACK STAT, BUT LOWERS ACCURACY."
HYDRATION,HEALS STATUS PROBLEMS IF IT IS RAINING.
HYPER CUTTER,PREVENTS OTHER POKÉMON FROM LOWERING ATTACK STAT.
ICE BODY,THE POKÉMON GRADUALLY REGAINS HP IN A HAILSTORM.
ICE FACE,AVOIDS DAMAGE FROM PHYSICAL MOVES FOR ONE TURN.
ICE SCALES,HALVES DAMAGE FROM SPECIAL MOVES.
ILLUMINATE,RAISES THE LIKELIHOOD OF MEETING WILD POKÉMON.
ILLUSION,ENTERS BATTLE DISGUISED AS THE LAST POKÉMON IN THE PARTY.
IMMUNITY,PREVENTS THE POKÉMON FROM GETTING POISONED.
IMPOSTER,IT TRANSFORMS ITSELF INTO THE POKÉMON IT IS FACING.
INFILTRATOR,PASSES THROUGH THE FOE'S BARRIER AND STRIKES.
INNARDS OUT,DEALS DAMAGE UPON FAINTING.
INNER FOCUS,THE POKÉMON IS PROTECTED FROM FLINCHING.
INSOMNIA,PREVENTS THE POKÉMON FROM FALLING ASLEEP.
INTIMIDATE,LOWERS THE FOE'S ATTACK STAT.
INTREPID SWORD,BOOSTS ATTACK IN BATTLE.
IRON BARBS,INFLICTS DAMAGE TO THE POKÉMON ON CONTACT.
IRON FIST,BOOSTS THE POWER OF PUNCHING MOVES.
JUSTIFIED,RAISES ATTACK WHEN HIT BY A DARK-TYPE MOVE.
KEEN EYE,PREVENTS OTHER POKÉMON FROM LOWERING ACCURACY.
KLUTZ,THE POKÉMON CAN'T USE ANY HELD ITEMS.
LEAF GUARD,PREVENTS PROBLEMS WITH STATUS IN SUNNY WEATHER.
LEVITATE,GIVES IMMUNITY TO GROUND TYPE MOVES.
LIBERO,CHANGES THE POKÉMON'S TYPE TO ITS LAST USED MOVE.
LIGHT METAL,HALVES THE POKÉMON'S WEIGHT.
LIGHTNING ROD,DRAWS IN ALL ELECTRIC-TYPE MOVES TO UP SP. ATTACK.
LIMBER,THE POKÉMON IS PROTECTED FROM PARALYSIS.
LIQUID OOZE,DAMAGES ATTACKERS USING ANY DRAINING MOVE.
LIQUID VOICE,ALL SOUND-BASED MOVES BECOME WATER-TYPE MOVES.
LONG REACH,THE POKÉMON USES ITS MOVES WITHOUT MAKING CONTACT WITH THE TARGET.
MAGIC BOUNCE,REFLECTS STATUS- CHANGING MOVES.
MAGIC GUARD,PROTECTS THE POKÉMON FROM INDIRECT DAMAGE.
MAGICIAN,THE POKÉMON STEALS THE HELD ITEM OF A POKÉMON IT HITS WITH A MOVE.
MAGMA ARMOR,PREVENTS THE POKÉMON FROM BECOMING FROZEN.
MAGNET PULL,PREVENTS STEEL-TYPE POKÉMON FROM ESCAPING.
MARVEL SCALE,UPS DEFENSE IF THERE IS A STATUS PROBLEM.
MEGA LAUNCHER,BOOSTS THE POWER OF AURA AND PULSE MOVES.
MERCILESS,THE POKÉMON'S ATTACKS BECOME CRITICAL HITS IF THE TARGET IS POISONED.
MIMICRY,CHANGES TYPE DEPENDING ON THE TERRAIN.
MINUS,UPS SP. ATK IF ANOTHER POKÉMON HAS PLUS OR MINUS.
MIRROR ARMOR,REFLECTS ANY STAT-LOWERING EFFECTS.
MISTY SURGE,THE POKÉMON CREATES A MISTY TERRAIN WHEN IT ENTERS A BATTLE.
MOLD BREAKER,MOVES CAN BE USED REGARDLESS OF ABILITIES.
MOODY,RAISES ONE STAT AND LOWERS ANOTHER.
MOTOR DRIVE,RAISES SPEED IF HIT BY AN ELECTRIC-TYPE MOVE.
MOXIE,BOOSTS ATTACK AFTER KNOCKING OUT ANY POKÉMON.
MULTISCALE,REDUCES DAMAGE WHEN HP IS FULL.
MULTITYPE,CHANGES TYPE TO MATCH THE HELD PLATE.
MUMMY,CONTACT WITH THIS POKÉMON SPREADS THIS ABILITY.
NATURAL CURE,ALL STATUS PROBLEMS HEAL WHEN IT SWITCHES OUT.
NEUROFORCE,POWERS UP MOVES THAT ARE SUPER EFFECTIVE.
NEUTRALIZING GAS,NEUTRALIZES ABILITIES OF ALL POKÉMON IN BATTLE.
NO GUARD,ENSURES ATTACKS BY OR AGAINST THE POKÉMON LAND.
NORMALIZE,ALL THE POKÉMON'S MOVES BECOME THE NORMAL TYPE.
OBLIVIOUS,PREVENTS IT FROM BECOMING INFATUATED.
OVERCOAT,PROTECTS THE POKÉMON FROM WEATHER DAMAGE.
OVERGROW,POWERS UP GRASS-TYPE MOVES IN A PINCH.
OWN TEMPO,PREVENTS THE POKÉMON FROM BECOMING CONFUSED.
PARENTAL BOND,ALLOWS THE POKÉMON TO ATTACK TWICE.
PASTEL VEIL,PREVENTS THE POKÉMON AND ITS ALLIES FROM BEING POISONED.
PERISH BODY,"WHEN HIT BY A MOVE THAT MAKES DIRECT CONTACT, THE POKÉMON AND THE ATTACKER WILL FAINT AFTER THREE TURNS UNLESS THEY SWITCH OUT OF BATTLE."
PICKPOCKET,STEALS AN ITEM WHEN HIT BY ANOTHER POKÉMON.
PICKUP,THE POKÉMON MAY PICK UP ITEMS.
PIXILATE,TURNS NORMAL-TYPE MOVES INTO FAIRY-TYPE MOVES.
PLUS,UPS SP. ATK IF ANOTHER POKÉMON HAS PLUS OR MINUS.
POISON HEAL,RESTORES HP IF THE POKÉMON IS POISONED.
POISON POINT,CONTACT WITH THE POKÉMON MAY POISON THE ATTACKER.
POISON TOUCH,MAY POISON TARGETS WHEN A POKÉMON MAKES CONTACT.
POWER CONSTRUCT,CHANGES FORM WHEN HP DROPS BELOW HALF.
POWER OF ALCHEMY,THE POKÉMON COPIES THE ABILITY OF A DEFEATED ALLY.
POWER SPOT,JUST BEING NEXT TO THE POKÉMON POWERS UP MOVES.
PRANKSTER,GIVES PRIORITY TO A STATUS MOVE.
PRESSURE,THE POKÉMON RAISES THE FOE'S PP USAGE.
PRIMORDIAL SEA,MAKES IT RAIN HEAVILY WHEN THE ABILITY ACTIVATES.
PRISM ARMOR,REDUCES DAMAGE FROM SUPER-EFFECTIVE ATTACKS.
PROPELLER TAIL,IGNORES MOVES AND ABILITIES THAT DRAW IN MOVES.
PROTEAN,CHANGES THE POKÉMON'S TYPE TO ITS LAST USED MOVE.
PSYCHIC SURGE,THE POKÉMON CREATES A PSYCHIC TERRAIN WHEN IT ENTERS A BATTLE.
PUNK ROCK,BOOSTS SOUND-BASED MOVES AND HALVES DAMAGE FROM THE SAME MOVES.
PURE POWER,RAISES THE POKÉMON'S ATTACK STAT.
QUEENLY MAJESTY,PREVENTS USE OF PRIORITY MOVES.
QUICK FEET,BOOSTS SPEED IF THERE IS A STATUS PROBLEM.
RAIN DISH,THE POKÉMON GRADUALLY REGAINS HP IN RAIN.
RATTLED,"BUG, GHOST OR DARK TYPE MOVES SCARE IT AND BOOST ITS SPEED."
RECEIVER,INHERITS AN ALLY'S ABILITY WHEN IT FAINTS.
RECKLESS,POWERS UP MOVES THAT HAVE RECOIL DAMAGE.
REFRIGERATE,TURNS NORMAL-TYPE MOVES INTO ICE-TYPE MOVES.
REGENERATOR,RESTORES A LITTLE HP WHEN WITHDRAWN FROM BATTLE.
RIPEN,DOUBLES THE EFFECT OF BERRIES.
RIVALRY,DEALS MORE DAMAGE TO A POKÉMON OF SAME GENDER.
RKS SYSTEM,CHANGES TYPE DEPENDING ON HELD ITEM.
ROCK HEAD,PROTECTS THE POKÉMON FROM RECOIL DAMAGE.
ROUGH SKIN,INFLICTS DAMAGE TO THE ATTACKER ON CONTACT.
RUN AWAY,ENABLES A SURE GETAWAY FROM WILD POKÉMON.
SAND FORCE,BOOSTS CERTAIN MOVES' POWER IN A SANDSTORM.
SAND RUSH,BOOSTS THE POKÉMON'S SPEED IN A SANDSTORM.
SAND SPIT,CREATES A SANDSTORM WHEN HIT BY AN ATTACK.
SAND STREAM,THE POKÉMON SUMMONS A SANDSTORM IN BATTLE.
SAND VEIL,BOOSTS THE POKÉMON'S EVASION IN A SANDSTORM.
SAP SIPPER,BOOSTS ATTACK WHEN HIT BY A GRASS-TYPE MOVE.
SCHOOLING,CHANGES WISHIWASHI TO SCHOOL FORM.
SCRAPPY,ENABLES MOVES TO HIT GHOST-TYPE POKÉMON.
SCREEN CLEANER,"NULLIFIES EFFECTS OF LIGHT SCREEN, REFLECT, AND AURORA VEIL."
SERENE GRACE,BOOSTS THE LIKELIHOOD OF ADDED EFFECTS APPEARING.
SHADOW SHIELD,REDUCES DAMAGE WHEN HP IS FULL.
SHADOW TAG,PREVENTS THE FOE FROM ESCAPING.
SHED SKIN,THE POKÉMON MAY HEAL ITS OWN STATUS PROBLEMS.
SHEER FORCE,REMOVES ADDED EFFECTS TO INCREASE MOVE DAMAGE.
SHELL ARMOR,THE POKÉMON IS PROTECTED AGAINST CRITICAL HITS.
SHIELD DUST,BLOCKS THE ADDED EFFECTS OF ATTACKS TAKEN.
SHIELDS DOWN,CHANGES STATS WHEN HP DROPS BELOW HALF.
SIMPLE,DOUBLES ALL STAT CHANGES.
SKILL LINK,INCREASES THE FREQUENCY OF MULTI-STRIKE MOVES.
SLOW START,TEMPORARILY HALVES ATTACK AND SPEED.
SLUSH RUSH,BOOSTS THE POKÉMON'S SPEED STAT IN A HAILSTORM.
SNIPER,POWERS UP MOVES IF THEY BECOME CRITICAL HITS.
SNOW CLOAK,RAISES EVASION IN A HAILSTORM.
SNOW WARNING,THE POKÉMON SUMMONS A HAILSTORM IN BATTLE.
SOLAR POWER,"IN SUNSHINE, SP. ATK IS BOOSTED BUT HP DECREASES."
SOLID ROCK,REDUCES DAMAGE FROM SUPER-EFFECTIVE ATTACKS.
SOUL-HEART,RAISES SPECIAL ATTACK WHEN AN ALLY FAINTS.
SOUNDPROOF,GIVES IMMUNITY TO SOUND-BASED MOVES.
SPEED BOOST,ITS SPEED STAT IS GRADUALLY BOOSTED.
STAKEOUT,DEALS DOUBLE DAMAGE TO POKÉMON SWITCHING IN.
STALL,THE POKÉMON MOVES AFTER ALL OTHER POKÉMON DO.
STALWART,IGNORES MOVES AND ABILITIES THAT DRAW IN MOVES.
STAMINA,RAISES DEFENSE WHEN ATTACKED.
STANCE CHANGE,CHANGES FORM DEPENDING ON MOVES USED.
STATIC,CONTACT WITH THE POKÉMON MAY CAUSE PARALYSIS.
STEADFAST,RAISES SPEED EACH TIME THE POKÉMON FLINCHES.
STEAM ENGINE,DRASTICALLY RAISES SPEED WHEN HIT BY A FIRE- OR WATER-TYPE MOVE.
STEELWORKER,POWERS UP STEEL-TYPE MOVES.
STEELY SPIRIT,POWERS UP ALLY POKÉMON'S STEEL-TYPE MOVES.
STENCH,THE STENCH MAY CAUSE THE TARGET TO FLINCH.
STICKY HOLD,PROTECTS THE POKÉMON FROM ITEM THEFT.
STORM DRAIN,DRAWS IN ALL WATER-TYPE MOVES TO UP SP. ATTACK.
STRONG JAW,BOOSTS THE POWER OF BITING MOVES.
STURDY,IT CANNOT BE KNOCKED OUT WITH ONE HIT.
SUCTION CUPS,NEGATES ALL MOVES THAT FORCE SWITCHING OUT.
SUPER LUCK,HEIGHTENS THE CRITICAL-HIT RATIOS OF MOVES.
SURGE SURFER,DOUBLES SPEED DURING ELECTRIC TERRAIN.
SWARM,POWERS UP BUG-TYPE MOVES IN A PINCH.
SWEET VEIL,PREVENTS THE POKÉMON AND ALLIES FROM FALLING ASLEEP.
SWIFT SWIM,BOOSTS THE POKÉMON'S SPEED IN RAIN.
SYMBIOSIS,THE POKÉMON CAN PASS AN ITEM TO AN ALLY.
SYNCHRONIZE,"PASSES A BURN, POISON, OR PARALYSIS TO THE FOE."
TANGLED FEET,RAISES EVASION IF THE POKÉMON IS CONFUSED.
TANGLING HAIR,CONTACT WITH THE POKÉMON LOWERS THE ATTACKER'S SPEED STAT.
TECHNICIAN,POWERS UP THE POKÉMON'S WEAKER MOVES.
TELEPATHY,ANTICIPATES AN ALLY'S ATTACK AND DODGES IT.
TERAVOLT,MOVES CAN BE USED REGARDLESS OF ABILITIES.
THICK FAT,UPS RESISTANCE TO FIRE- AND ICE-TYPE MOVES.
TINTED LENS,POWERS UP “NOT VERY EFFECTIVE” MOVES.
TORRENT,POWERS UP WATER-TYPE MOVES IN A PINCH.
TOUGH CLAWS,BOOSTS THE POWER OF CONTACT MOVES.
TOXIC BOOST,POWERS UP PHYSICAL ATTACKS WHEN POISONED.
TRACE,THE POKÉMON COPIES A FOE'S ABILITY.
TRIAGE,GIVES PRIORITY TO RESTORATIVE MOVES.
TRUANT,POKÉMON CAN'T ATTACK ON CONSECUTIVE TURNS.
TURBOBLAZE,MOVES CAN BE USED REGARDLESS OF ABILITIES.
UNAWARE,IGNORES ANY STAT CHANGES IN THE POKÉMON.
UNBURDEN,RAISES SPEED IF A HELD ITEM IS USED.
UNNERVE,MAKES THE FOE NERVOUS AND UNABLE TO EAT BERRIES.
VICTORY STAR,BOOSTS THE ACCURACY OF ITS ALLIES AND ITSELF.
VITAL SPIRIT,PREVENTS THE POKÉMON FROM FALLING ASLEEP.
VOLT ABSORB,RESTORES HP IF HIT BY AN ELECTRIC-TYPE MOVE.
WANDERING SPIRIT,SWAPS ABILITIES WITH OPPONENTS ON CONTACT.
WATER ABSORB,RESTORES HP IF HIT BY A WATER-TYPE MOVE.
WATER BUBBLE,"HALVES DAMAGE FROM FIRE-TYPE MOVES, DOUBLES POWER OF WATER-TYPE MOVES USED, AND PREVENTS BURNS."
WATER COMPACTION,SHARPLY RAISES DEFENSE WHEN HIT BY A WATER-TYPE MOVE.
WATER VEIL,PREVENTS THE POKÉMON FROM GETTING A BURN.
WEAK ARMOR,PHYSICAL ATTACKS LOWER DEFENSE AND RAISE SPEED.
WHITE SMOKE,PREVENTS OTHER POKÉMON FROM LOWERING ITS STATS.
WIMP OUT,SWITCHES OUT WHEN HP DROPS BELOW HALF.
WONDER GUARD,ONLY SUPEREFFECTIVE MOVES WILL HIT.
WONDER SKIN,MAKES STATUS-CHANGING MOVES MORE LIKELY TO MISS.
ZEN MODE,CHANGES FORM WHEN HP DROPS BELOW HALF.
